"";"X";"SG_UF_MUN";"CO_MUN_GEO";"NO_MUN";"CO_UF"
"162";4947;"SP";3440507;"PORANGABA";41
"163";4948;"SP";3440606;"PORTO FELIZ";41
"164";4949;"SP";3440705;"PORTO FERREIRA";41
"165";4950;"SP";3440754;"POTIM";41
"166";4951;"SP";3440804;"POTIRENDABA";41
"167";4952;"SP";3440853;"PRACINHA";41
"168";4953;"SP";3440903;"PRADOPOLIS";41
"169";4954;"SP";3441000;"PRAIA GRANDE";41
"170";4955;"SP";3441059;"PRATANIA";41
"171";4956;"SP";3411607;"CESARIO LANGE";41
"172";4957;"SP";3423107;"ITAQUAQUECETUBA";41
"173";4958;"SP";3423206;"ITARARE";41
"174";4959;"SP";3423305;"ITARIRI";41
"175";4960;"SP";3423404;"ITATIBA";41
"176";4961;"SP";3423503;"ITATINGA";41
"177";4962;"SP";3441653;"QUADRA";41
"178";4963;"SP";3444905;"SALES OLIVEIRA";41
"179";4964;"SP";3445001;"SALESOPOLIS";41
"180";4965;"SP";3445100;"SALMOURAO";41
"181";4966;"SP";3445159;"SALTINHO";41
"182";4967;"SP";3445209;"SALTO";41
"183";4968;"SP";3445308;"SALTO DE PIRAPORA";41
"184";4969;"SP";3445407;"SALTO GRANDE";41
"185";4970;"SP";3445506;"SANDOVALINA";41
"186";4971;"SP";3445605;"SANTA ADELIA";41
"187";4972;"SP";3445704;"SANTA ALBERTINA";41
"188";4973;"SP";3445803;"SANTA BARBARA D'OESTE";41
"189";4974;"SP";3446009;"SANTA BRANCA";41
"190";4975;"SP";3446108;"SANTA CLARA D'OESTE";41
"191";4976;"SP";3446207;"SANTA CRUZ DA CONCEICAO";41
"192";4977;"SP";3446256;"SANTA CRUZ DA ESPERANCA";41
"193";4978;"SP";3446306;"SANTA CRUZ DAS PALMEIRAS";41
"194";4979;"SP";3446405;"SANTA CRUZ DO RIO PARDO";41
"195";4980;"SP";3446504;"SANTA ERNESTINA";41
"196";4981;"SP";3446603;"SANTA FE DO SUL";41
"197";4982;"SP";3453658;"TAQUARAL";41
"198";4983;"SP";3453708;"TAQUARITINGA";41
"199";4984;"SP";3453807;"TAQUARITUBA";41
"200";4985;"SP";3453856;"TAQUARIVAI";41
"201";4986;"SP";3453906;"TARABAI";41
"202";4987;"SP";3453955;"TARUMA";41
"203";4988;"SP";3454003;"TATUI";41
"204";4989;"SP";3454102;"TAUBATE";41
"205";4990;"SP";3454201;"TEJUPA";41
"206";4991;"SP";3454300;"TEODORO SAMPAIO";41
"207";4992;"SP";3454409;"TERRA ROXA";41
"208";4993;"SP";3454508;"TIETE";41
"209";4994;"SP";3454607;"TIMBURI";41
"210";4995;"SP";3454656;"TORRE DE PEDRA";41
"211";4996;"SP";3441109;"PRESIDENTE ALVES";41
"212";4997;"SP";3441208;"PRESIDENTE BERNARDES";41
"213";4998;"SP";3441307;"PRESIDENTE EPITACIO";41
"214";4999;"SP";3441406;"PRESIDENTE PRUDENTE";41
"215";5000;"SP";3441505;"PRESIDENTE VENCESLAU";41
"216";5001;"SP";3441604;"PROMISSAO";41
"217";5002;"SP";3408405;"CABREUVA";41
"218";5003;"SP";3455208;"TURIUBA";41
"219";5004;"SP";3420103;"IGARAPAVA";41
"220";5005;"SP";3420202;"IGARATA";41
"221";5006;"SP";3420301;"IGUAPE";41
"222";5007;"SP";3420400;"ILHABELA";41
"223";5008;"SP";3420426;"ILHA COMPRIDA";41
"224";5009;"SP";3420442;"ILHA SOLTEIRA";41
"225";5010;"SP";3420509;"INDAIATUBA";41
"226";5011;"SP";3420608;"INDIANA";41
"227";5012;"SP";3420707;"INDIAPORA";41
"228";5013;"SP";3420806;"INUBIA PAULISTA";41
"229";5014;"SP";3420905;"IPAUSSU";41
"230";5015;"SP";3421002;"IPERO";41
"231";5016;"SP";3421101;"IPEUNA";41
"232";5017;"SP";3421150;"IPIGUA";41
"233";5018;"SP";3421200;"IPORANGA";41
"234";5019;"SP";3421309;"IPUA";41
"235";5020;"SP";3421408;"IRACEMAPOLIS";41
"236";5021;"SP";3421507;"IRAPUA";41
"237";5022;"SP";3421606;"IRAPURU";41
"238";5023;"SP";3421705;"ITABERA";41
"239";5024;"SP";3432843;"NOVA CANAA PAULISTA";41
"240";5025;"SP";3432868;"NOVA CASTILHO";41
"241";5026;"SP";3432900;"NOVA EUROPA";41
"242";5027;"SP";3433007;"NOVA GRANADA";41
"243";5028;"SP";3433106;"NOVA GUATAPORANGA";41
"244";5029;"SP";3433205;"NOVA INDEPENDENCIA";41
"245";5030;"SP";3433254;"NOVAIS";41
"246";5031;"SP";3433304;"NOVA LUZITANIA";41
"247";5032;"SP";3433403;"NOVA ODESSA";41
"248";5033;"SP";3433502;"NOVO HORIZONTE";41
"249";5034;"SP";3400204;"ADOLFO";41
"250";5035;"SP";3400303;"AGUAI";41
"251";5036;"SP";3422901;"ITAPUI";41
"252";5037;"SP";3423008;"ITAPURA";41
"253";5038;"SP";3437404;"PEREIRA BARRETO";41
"254";5039;"SP";3437503;"PEREIRAS";41
"255";5040;"SP";3437602;"PERUIBE";41
"256";5041;"SP";3437701;"PIACATU";41
"257";5042;"SP";3437800;"PIEDADE";41
"258";5043;"SP";3437909;"PILAR DO SUL";41
"259";5044;"SP";3438006;"PINDAMONHANGABA";41
"260";5045;"SP";3438105;"PINDORAMA";41
"261";5046;"SP";3438204;"PINHALZINHO";41
"262";5047;"SP";3438303;"PIQUEROBI";41
"263";5048;"SP";3438501;"PIQUETE";41
"264";5049;"SP";3438600;"PIRACAIA";41
"265";5050;"SP";3438709;"PIRACICABA";41
"266";5051;"SP";3438808;"PIRAJU";41
"267";5052;"SP";3438907;"PIRAJUI";41
"268";5053;"SP";3424600;"JACUPIRANGA";41
"269";5054;"SP";3424709;"JAGUARIUNA";41
"270";5055;"SP";3424808;"JALES";41
"271";5056;"SP";3424907;"JAMBEIRO";41
"272";5057;"SP";3425003;"JANDIRA";41
"273";5058;"SP";3442602;"REGISTRO";41
"274";5059;"SP";3442701;"RESTINGA";41
"275";5060;"SP";3442800;"RIBEIRA";41
"276";5061;"SP";3442909;"RIBEIRAO BONITO";41
"277";5062;"SP";3443006;"RIBEIRAO BRANCO";41
"278";5063;"SP";3443105;"RIBEIRAO CORRENTE";41
"279";5064;"SP";3443204;"RIBEIRAO DO SUL";41
"280";5065;"SP";3443238;"RIBEIRAO DOS INDIOS";41
"281";5066;"SP";3443253;"RIBEIRAO GRANDE";41
"282";5067;"SP";3443303;"RIBEIRAO PIRES";41
"283";5068;"SP";3443402;"RIBEIRAO PRETO";41
"284";5069;"SP";3443501;"RIVERSUL";41
"285";5070;"SP";3443600;"RIFAINA";41
"286";5071;"SP";3443709;"RINCAO";41
"287";5072;"SP";3443808;"RINOPOLIS";41
"288";5073;"SP";3443907;"RIO CLARO";41
"289";5074;"SP";3444004;"RIO DAS PEDRAS";41
"290";5075;"SP";3444103;"RIO GRANDE DA SERRA";41
"291";5076;"SP";3444202;"RIOLANDIA";41
"292";5077;"SP";3444251;"ROSANA";41
"293";5078;"SP";3444301;"ROSEIRA";41
"294";5079;"SP";3444400;"RUBIACEA";41
"295";5080;"SP";3444509;"RUBINEIA";41
"296";5081;"SP";3444608;"SABINO";41
"297";5082;"SP";3444707;"SAGRES";41
"298";5083;"SP";3444806;"SALES";41
"299";5084;"SP";3451900;"SEVERINIA";41
"300";5085;"SP";3452007;"SILVEIRAS";41
"301";5086;"SP";3452106;"SOCORRO";41
"302";5087;"SP";3452205;"SOROCABA";41
"303";5088;"SP";3452304;"SUD MENNUCCI";41
"304";5089;"SP";3452403;"SUMARE";41
"305";5090;"SP";3452502;"SUZANO";41
"306";5091;"SP";3452551;"SUZANAPOLIS";41
"307";5092;"SP";3452601;"TABAPUA";41
"308";5093;"SP";3452700;"TABATINGA";41
"309";5094;"SP";3452809;"TABOAO DA SERRA";41
"310";5095;"SP";3452908;"TACIBA";41
"311";5096;"SP";3453005;"TAGUAI";41
"312";5097;"SP";3453104;"TAIACU";41
"313";5098;"SP";3453203;"TAIUVA";41
"314";5099;"SP";3453302;"TAMBAU";41
"315";5100;"SP";3453401;"TANABI";41
"316";5101;"SP";3453500;"TAPIRAI";41
"317";5102;"SP";3453609;"TAPIRATIBA";41
"318";5103;"SP";3417000;"GETULINA";41
"319";5104;"SP";3417109;"GLICERIO";41
"320";5105;"SP";3417208;"GUAICARA";41
"321";5106;"SP";3417307;"GUAIMBE";41
"322";5107;"SP";3417406;"GUAIRA";41
"323";5108;"SP";3417505;"GUAPIACU";41
"324";5109;"SP";3417604;"GUAPIARA";41
"325";5110;"SP";3417703;"GUARA";41
"326";5111;"SP";3417802;"GUARACAI";41
"327";5112;"SP";3417901;"GUARACI";41
"328";5113;"SP";3418008;"GUARANI D'OESTE";41
"329";5114;"SP";3418107;"GUARANTA";41
"330";5115;"SP";3418206;"GUARARAPES";41
"331";5116;"SP";3418305;"GUARAREMA";41
"332";5117;"SP";3454706;"TORRINHA";41
"333";5118;"SP";3454755;"TRABIJU";41
"334";5119;"SP";3454805;"TREMEMBE";41
"335";5120;"SP";3454904;"TRES FRONTEIRAS";41
"336";5121;"SP";3454953;"TUIUTI";41
"337";5122;"SP";3455000;"TUPA";41
"338";5123;"SP";3455109;"TUPI PAULISTA";41
"339";5124;"SP";3419006;"HERCULANDIA";41
"340";5125;"SP";3419055;"HOLAMBRA";41
