Ano;Mês;Município;"Valor FOB (US$)";"Quilograma Líquido"
2021;03;"Artur Nogueira - SP";6211478;2343316
2021;03;"Campinas - SP";280954356;22420818
2021;03;"Cosmópolis - SP";7097131;409621
2021;03;"Engenheiro Coelho - SP";55711;165039
2021;03;"Holambra - SP";2721756;253258
2021;03;"Hortolândia - SP";89082113;3594032
2021;03;"Indaiatuba - SP";149264623;51060466
2021;03;"Itatiba - SP";35843735;9389492
2021;03;"Jaguariúna - SP";85551341;3346997
2021;03;"Monte Mor - SP";13183401;2176190
2021;03;"Morungaba - SP";1113718;234160
2021;03;"Nova Odessa - SP";9339216;2577996
2021;03;"Paulínia - SP";291584569;79374446
2021;03;"Pedreira - SP";772691;405473
2021;03;"Santa Bárbara d'Oeste - SP";13959574;1447265
2021;03;"Santo Antônio de Posse - SP";9053009;666014
2021;03;"Sumaré - SP";113916978;45922662
2021;03;"Valinhos - SP";46916307;4208088
2021;03;"Vinhedo - SP";83576990;15878728
2021;02;"Artur Nogueira - SP";4114752;1968297
2021;02;"Campinas - SP";240306454;20089062
2021;02;"Cosmópolis - SP";8268225;253839
2021;02;"Engenheiro Coelho - SP";141088;164497
2021;02;"Holambra - SP";4756530;521432
2021;02;"Hortolândia - SP";68403091;2958973
2021;02;"Indaiatuba - SP";86689904;34133568
2021;02;"Itatiba - SP";28667224;7420103
2021;02;"Jaguariúna - SP";85988444;2797237
2021;02;"Monte Mor - SP";9586010;2441298
2021;02;"Morungaba - SP";235016;15288
2021;02;"Nova Odessa - SP";7076039;1835792
2021;02;"Paulínia - SP";208120314;51819778
2021;02;"Pedreira - SP";793776;134856
2021;02;"Santa Bárbara d'Oeste - SP";8246413;965869
2021;02;"Santo Antônio de Posse - SP";8656310;746633
2021;02;"Sumaré - SP";119074357;39427464
2021;02;"Valinhos - SP";36004674;5369133
2021;02;"Vinhedo - SP";54607699;8604496
2021;01;"Artur Nogueira - SP";4750643;1195061
2021;01;"Campinas - SP";228516487;23615762
2021;01;"Cosmópolis - SP";3547221;451285
2021;01;"Engenheiro Coelho - SP";5058;744
2021;01;"Holambra - SP";4953911;700938
2021;01;"Hortolândia - SP";64336897;3210824
2021;01;"Indaiatuba - SP";99186849;31140174
2021;01;"Itatiba - SP";26502119;6544519
